From;To;Similarity
127;136;0,0006236049186488174;
127;146;0,011189966499974462;
127;164;0,0011647106611538229;
127;202;0,000625488589503956;
127;209;0,007380165713315657;
127;217;0,00102610260616474;
129;133;0,026261764705882353;
129;138;0,011673333333333334;
130;136;0,0054623076923076925;
133;135;0,033942758620689656;
133;136;0,04900193193936363;
133;138;0,0160273226049484;
133;149;0,03057623185769696;
133;169;0,011339994946650727;
133;175;0,0121450288976963;
133;202;0,00110766097509095;
133;209;0,008017188232248366;
133;217;0,003368362950437703;
136;137;0,002478678966968584;
136;138;0,012786915625909803;
136;140;0,0005162342276551421;
136;143;0,00039141055681324896;
136;144;0,0007518181818181816;
136;146;0,0023575624450395912;
136;151;0,002589308176100629;
136;164;0,0005443446194780036;
136;181;0,002025294294436884;
136;202;0,0030986318784799053;
136;209;0,0008321796492304806;
136;213;0,007405502968048056;
136;217;0,00437938282485079;
137;151;1;
138;140;0,11039113111427692;
138;146;0,0065866048515214395;
138;213;0,0017841629366348055;
140;144;0,045294545454545455;
146;202;0,00037919932928107315;
146;213;0,002814454024123259;
121;133;0,026841764705882353;
121;138;0,012123513513513514;
123;133;0,03370096661954595;
123;135;1;
123;149;1;
127;133;0,0021690033969380546;
127;136;0,0006236049186488174;
127;146;0,011189966499974462;
127;164;0,0011647106611538229;
127;202;0,000625488589503956;
127;209;0,007380165713315657;
127;217;0,00102610260616474;
129;133;0,026261764705882353;
129;138;0,011673333333333334;
130;136;0,0054623076923076925;
133;135;0,033942758620689656;
133;136;0,04900193193936363;
133;138;0,0160273226049484;
133;149;0,03057623185769696;
133;169;0,011339994946650727;
133;175;0,0121450288976963;
133;202;0,00110766097509095;
133;209;0,008017188232248366;
133;217;0,003368362950437703;
136;137;0,002478678966968584;
136;138;0,012786915625909803;
136;140;0,0005162342276551421;
136;143;0,00039141055681324896;
136;144;0,0007518181818181816;
136;146;0,0023575624450395912;
136;151;0,002589308176100629;
136;164;0,0005443446194780036;
136;181;0,002025294294436884;
136;202;0,0030986318784799053;
136;209;0,0008321796492304806;
136;213;0,007405502968048056;
136;217;0,00437938282485079;
137;151;1;
138;140;0,11039113111427692;
138;146;0,0065866048515214395;
138;213;0,0017841629366348055;
140;144;0,045294545454545455;
146;202;0,00037919932928107315;
146;213;0,002814454024123259;
154;209;0,00906157582499073;
160;161;1;
160;164;0,02209346625127652;
160;167;0,077581452991453;
160;171;0,019664055468341185;
160;178;0,012447412587412589;
160;199;0,007480198135198135;
162;164;0,009782734971980124;
162;167;0,01719134363007098;
162;169;0,021650549182756027;
162;175;0,016372343820946093;
162;202;0,0001399295607659972;
164;167;0,03455250286190304;
164;169;0,04248825444349084;
164;171;0,0024002506265664164;
164;175;0,014318456790892194;
164;178;0,0004692307692307692;
164;199;0,000335234521575985;
164;202;0,02200336784944559;
164;209;0,004383488113991557;
164;213;0,01293605087208379;
164;217;0,02806686535109041;
167;169;0,12176725846617152;
167;175;0,015379409986216709;
169;175;0,022463131179110585;
169;202;0,0036805090076671614;
170;181;0,0009162702118522869;
171;178;1;
179;187;1;
181;213;0,0017148677029530442;
182;183;1;
188;189;0,29993;
188;192;0,3332033333333333;
188;199;0,0011304761904761904;
199;202;0,015782793290111705;
199;204;0,16650666666666666;
199;205;0,33329333333333333;
199;206;0,99996;
199;207;0,99996;
199;208;0,19954000000000002;
199;209;0,10510692196371395;
199;210;0,19958;
199;211;0,16650666666666666;
199;212;0,09966;
199;213;0,011561756799832942;
199;214;0,16642666666666667;
199;215;0,16642666666666667;
199;216;0,007626507936507936;
199;217;0,02285932800765081;
202;204;0,024360243902439026;
202;209;0,011562838360947878;
202;213;0,0750301060869699;
202;217;0,03567169334480548;
203;213;0,0029725250067585834;
204;217;0,035064285714285715;
205;217;0,011874761904761904;
206;213;0,033093333333333336;
207;213;0,033093333333333336;
209;213;0,01436236142894966;
209;217;0,06026643913750554;
211;213;0,012465714285714285;
212;217;0,016037924528301887;
213;217;0,06927583463175381;
214;217;0,03876;
215;217;0,03876;
;
